,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,
,,,North America,,"117,255,163",,"1,547,054",,"112,560,982","+2,475","3,147,127","7,706",,,,,,North America,,,,,,,,
,,,Asia,,"191,939,116","+33,440","1,484,215",+5,"185,959,514","+31,999","4,495,387","9,528",,,,,,Asia,,,,,,,,
,,,Europe,,"231,671,114",,"1,930,872",,"224,036,828","+28,289","5,703,414","10,056",,,,,,Europe,,,,,,,,
,,,South America,,"64,268,411",,"1,331,534",,"62,578,553","+1,544","358,324","10,165",,,,,,South America,,,,,,,,
,,,Oceania,,"12,514,512","+1,087","21,352",+12,"12,313,681",,"179,479",91,,,,,,Australia/Oceania,,,,,,,,
,,,Africa,,"12,659,954",,"257,742",,"11,998,118",,"404,094","1,000",,,,,,Africa,,,,,,,,
,,,,,721,,15,,706,,0,0,,,,,,,,,,,,,,
,,World,"630,308,991","+34,527","6,572,784",+17,"609,448,382","+64,306","14,287,825","38,546","80,863",843.2,,,,All,,,,,,,,
,26,Greece,"5,026,494",,"33,313 ",,"4,963,793","+7,347","29,388",115,"487,222","3,229","95,536,498","9,260,430","10,316,637 ",Europe,23100,,,"2,849",
,27,Malaysia,"4,867,192",,"36,417 ",,"4,806,883",,"23,892",36,"146,686","1,098","64,999,917","1,958,946","33,181,072 ",Asia,79111,,,720,
,28,DPRK,"4,772,813",,74 ,,"4,772,739",,0,,"183,636",3,,,"25,990,679 ",Asia,"5351,225",,,,
,29,Thailand,"4,687,281",,"32,882 ",,"4,649,509",,"4,890","1,496","66,886",469,"17,270,775","246,450","70,078,203 ",Asia,"152,1314",,,70,
,30,Chile,"4,682,067",,"61,448 ",,"4,600,875",,"19,744",85,"243,222","3,192","45,674,866","2,372,696","19,250,195 ",South America,43130,,,"1,026",
,31,Israel,"4,673,411",,"11,717 ",,"4,655,872",,"5,822",90,"501,116","1,256","41,373,364","4,436,346","9,326,000 ",Asia,27960,,,624,
,32,Belgium,"4,586,564",,"32,776 ",,"4,481,624","+1,405","72,164",68,"393,080","2,809","35,787,160","3,067,047","11,668,278 ",Europe,33560,,,"6,185",
,33,Canada,"4,293,273",,"45,689 ",,"4,177,877","+2,475","69,707",99,"111,838","1,190","65,412,557","1,703,966","38,388,419 ",North America,98401,,,"1,816",
,34,Peru,"4,150,544",,"216,860 ",,"3,929,140",+551,"4,544",118,"123,219","6,438","35,462,029","1,052,779","33,684,208 ",South America,81551,,,135,
,35,Switzerland,"4,144,447",,"14,203 ",,"4,049,778","+1,973","80,466",54,"472,375","1,619","22,476,990","2,561,878","8,773,637 ",Europe,26180,,,"9,171",
,36,Czechia,"4,141,069",,"41,388 ",,"4,084,227",,"15,454",54,"385,690","3,855","56,380,239","5,251,129","10,736,784 ",Europe,32590,,,"1,439",
,37,South Africa,"4,023,732",,"102,246 ",,"3,912,506",,"8,980",192,"66,228","1,683","26,174,429","430,811","60,756,135 ",Africa,155942,,,148,
,38,Philippines,"3,984,815",,"63,547 ",,"3,895,420",,"25,848",646,"35,418",565,"33,092,842","294,135","112,508,994 ",Asia,"281,7703",,,230,
,39,Romania,"3,280,165",,"67,124 ",,"3,202,818",,"10,223",97,"172,356","3,527","25,307,177","1,329,764","19,031,335 ",Europe,62841,,,537,
,40,Denmark,"3,127,601",,"7,195 ",,"3,106,743",,"13,663",3,"536,012","1,233","128,541,575","22,029,593","5,834,950 ",Europe,28110,,,"2,342",
,41,Sweden,"2,604,866",,"20,407 ",,"2,560,188",+414,"24,271",17,"254,905","1,997","19,010,468","1,860,311","10,218,971 ",Europe,45011,,,"2,375",
,42,Iraq,"2,460,868",,"25,356 ",,"2,435,048",,464,21,"58,363",601,"19,350,944","458,934","42,164,965 ",Asia,"171,6632",,,11,
,43,Serbia,"2,389,987",,"17,144 ",,"2,342,386",,"30,457",18,"276,203","1,981","11,230,929","1,297,921","8,653,016 ",Europe,45051,,,"3,520",
,44,Hungary,"2,120,543",,"47,680 ",,"2,036,700",,"36,163",32,"220,746","4,963","11,394,556","1,186,160","9,606,259 ",Europe,52011,,,"3,765",
,45,Bangladesh,"2,032,832",,"29,402 ",,"1,974,852",,"28,578","1,331","12,108",175,"14,949,905","89,048","167,885,689 ",Asia,"835,71011",,,170,
,46,Singapore,"2,017,261",,"1,646 ",,"1,923,390",,"92,225",15,"339,404",277,"24,548,641","4,130,302","5,943,546 ",Asia,"33,6110",,,"15,517",
,47,Slovakia,"1,849,602",,"20,518  ",,"1,823,935",,"5,149",42,"338,743","3,758","7,318,689","1,340,372","5,460,193 ",Europe,32661,,,943,
,48,Hong Kong,"1,843,209",,"10,278 ",,"1,641,696",,"191,235",11,"242,390","1,352","66,284,763","8,716,749","7,604,299 ",Asia,47400,,,"25,148",
,49,New Zealand,"1,814,890",,"3,047 ",,"1,798,540",,"13,303",,"370,522",622,"7,544,063","1,540,170","4,898,203 ",Australia/Oceania,"31,6081",,,"2,716",
,50,Georgia,"1,780,691",,"16,900 ",,"1,637,293",,"126,498",,"448,679","4,258","16,920,079","4,263,340","3,968,738 ",Asia,22350,,,"31,874",
,51,Jordan,"1,746,997",,"14,122 ",,"1,731,007",,"1,868",59,"169,597","1,371","17,201,885","1,669,945","10,300,869 ",Asia,67291,,,181,
,52,Ireland,"1,668,301",,"7,952 ",,"1,653,448",,"6,901",16,"332,318","1,584","12,749,296","2,539,600","5,020,199 ",Europe,36310,,,"1,375",
,53,Pakistan,"1,573,403",,"30,621 ",,"1,538,689",,"4,093",24,"6,856",133,"30,570,862","133,213","229,488,994 ",Asia,"1467,4948",,,18,
,54,Norway,"1,463,571",,"4,153 ",,"1,458,284",,"1,134",20,"265,555",754,"11,002,430","1,996,315","5,511,370 ",Europe,"41,3271",,,206,
,55,Kazakhstan,"1,394,287",,"13,692 ",,"1,379,442",,"1,153",24,"72,600",713,"11,575,012","602,707","19,205,043 ",Asia,"141,4032",,,60,
,56,Finland,"1,323,455",,"6,242 ",,"1,288,040","+1,146","29,173",21,"238,247","1,124","11,581,841","2,084,955","5,554,960 ",Europe,48900,,,"5,252",
,57,Bulgaria,"1,271,228",,"37,795 ",,"1,223,025",,"10,408",54,"185,727","5,522","10,643,594","1,555,036","6,844,597 ",Europe,51811,,,"1,521",
,58,Morocco,"1,265,232",,"16,279 ",,"1,248,817",,136,293,"33,496",431,"12,628,380","334,325","37,772,756 ",Africa,"302,3203",,,4,
,59,Lithuania,"1,261,643",,"9,363 ",,"1,237,334",,"14,946",8,"473,998","3,518","10,203,894","3,833,589","2,661,708 ",Europe,22840,,,"5,615",
,60,Croatia,"1,241,791",,"17,032 ",,"1,221,226",,"3,533",22,"305,914","4,196","5,315,060","1,309,358","4,059,286 ",Europe,32381,,,870,
,61,Lebanon,"1,216,999",,"10,688 ",,"1,087,587",,"118,724",74,"182,053","1,599","4,795,578","717,380","6,684,849 ",Asia,56251,,,"17,760",
,62,Slovenia,"1,216,276",,"6,855 ",,"1,180,878",,"28,543",27,"585,301","3,299","2,756,417","1,326,454","2,078,034 ",Europe,23031,,,"13,736",
,63,Tunisia,"1,145,930",,"29,254 ",,N/A,N/A,N/A,101,"95,124","2,428","4,952,266","411,091","12,046,656 ",Africa,114122,,,554,
,64,Guatemala,"1,133,517",,"19,854 ",,"1,112,040",,"1,623",5,"60,994","1,068","6,019,393","323,901","18,584,039 ",North America,169363,,,87,
,65,Costa Rica,"1,127,602",,"8,974 ",,"860,711",,"257,917",52,"217,585","1,732","4,659,757","899,158","5,182,354 ",North America,55771,,,"49,768",
,66,Cuba,"1,111,260",,"8,530 ",,"1,102,654",,76,23,"98,292",754,"14,166,734","1,253,067","11,305,652 ",North America,"101,3251",,,7,
,67,Bolivia,"1,108,996",,"22,237 ",,"1,061,205",,"25,554",220,"92,473","1,854","2,705,422","225,590","11,992,656 ",South America,115394,,,"2,131",
,68,UAE,"1,033,158",,"2,347 ",,"1,012,057",,"18,754",,"102,478",233,"193,078,317","19,151,204","10,081,785 ",Asia,"104,2960",,,"1,860",
,69,Ecuador,"1,006,922",,"35,904 ",,"969,617",+363,"1,401",759,"55,590","1,982","3,082,403","170,173","18,113,361 ",South America,185046,,,77,
,70,Nepal,"1,000,191",,"12,018 ",,"987,462",,711,,"33,091",398,"5,949,326","196,831","30,225,582 ",Asia,"302,5155",,,24,
,71,Belarus,"994,037",,"7,118 ",,"985,592",,"1,327",,"105,381",755,"13,646,641","1,446,722","9,432,800 ",Europe,"91,3251",,,141,
,72,Uruguay,"988,527",,"7,510 ",,"980,097",,920,18,"282,758","2,148","6,114,822","1,749,083","3,496,016 ",South America,44661,,,263,
,73,Panama,"988,280",,"8,505 ",,"978,903",,872,16,"222,237","1,913","7,104,713","1,597,655","4,446,964 ",North America,45231,,,196,
