#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
149,Syria,"57,334",2,"3,163",,"54,156",5,15,,"3,104",171,"146,269","7,918","18,472,706",Asia,"3,225,840,126",0.1,,0.8,,
150,Burundi,"50,289",,38,,"50,104",,147,,"3,960",3,"345,742","27,222","12,700,628",Africa,"25,333,422,737",,,12,,
151,Gabon,"48,810",,306,,"48,353",,151,,"20,807",130,"1,618,431","689,923","2,345,813",Africa,"4,876,661",,,64,,
152,Seychelles,"47,141",,169,,"46,446",,526,,"472,648","1,694",,,"99,738",Africa,2590,,,"5,274",,
153,Andorra,"46,366",,155,,"46,087",,124,14,"597,908","1,999","249,838","3,221,762","77,547",Europe,25000,,,"1,599",,
154,Papua New Guinea,"45,199",,668,,"43,982",,549,7,"4,842",72,"249,149","26,691","9,334,490",Australia/Oceania,"2,071,397,437",,,59,,
155,Curaçao,"45,127",,282,,"44,720",,125,3,"272,463","1,703","496,693","2,998,883","165,626",North America,45870,,,755,,
156,Aruba,"42,914",,227,,"42,438",,249,2,"398,082","2,106","177,885","1,650,109","107,802",North America,34751,,,"2,310",,
157,Mauritius,"40,548",,"1,030",,"38,894",,624,,"31,763",807,"358,675","280,964","1,276,589",Africa,"3,112,394",,,489,,
158,Mayotte,"40,297",,187,,N/A,N/A,N/A,,"139,986",650,"176,919","614,590","287,865",Africa,"715,392",,,"129,040",,
159,Tanzania,"39,679",,845,,N/A,N/A,N/A,7,624,13,,,"63,624,887",Africa,"160,375,296",,,607,,
160,Togo,"39,252",9,287,,"38,812",19,153,,"4,500",33,"795,477","91,200","8,722,357",Africa,"2,223,039,111",1,,18,,
161,Isle of Man,"38,008",,116,,N/A,N/A,N/A,,"441,640","1,348","150,753","1,751,699","86,061",Europe,27421,,,"128,955",,
